"","species","SPID","spp","diff","sgn"
"1","Argia translata",1,1,0.243491072724996,1
"2","Epitheca cynosura",2,2,0.0640952777567729,1
"3","Pachydiplax longipennis",3,3,0.107273555458403,1
"4","Enallagma hageni",4,4,0.224023329162496,1
"5","Argia tibialis",5,5,0.191647306306621,1
"6","Celithemis elisa",6,6,0.107601240659459,1
"7","Argia moesta",7,7,0.167552111913683,1
"8","Ischnura verticalis",8,8,0.115447263105756,1
"9","Argia apicalis",9,9,0.243660572362642,1
"10","Enallagma pictum",10,10,0.159984064149544,1
"11","Erythemis simplicicollis",11,11,0.0760186049967005,1
"12","Enallagma divagans",12,12,0.106375927481869,1
"13","Enallagma exsulans",13,13,0.113118690892711,1
"14","Enallagma geminatum",14,14,0.203612587044167,1
"15","Ischnura posita",15,15,0.112013433064448,1
"16","Didymops transversa",16,16,0.0390519162107813,1
"17","Enallagma minusculum",17,17,0.0607787070994159,1
"18","Cordulegaster bilineata",18,18,0.0582380277727949,1
"19","Cordulia shurtleffii",19,19,0.364452241270916,1
"20","Calopteryx maculata",20,20,0.0509488719435354,1
"21","Boyeria vinosa",21,21,0.062496735846954,1
"22","Sympetrum rubicundulum",22,22,-0.0608950177357183,-1
"23","Enallagma civile",23,23,0.125439988800387,1
"24","Cordulegaster erronea",24,24,-0.0696565375464113,-1
"25","Calopteryx dimidiata",25,25,0.0661808008809562,1
"26","Gomphus lividus",26,26,-0.0493874384692997,-1
"27","Sympetrum obtrusum",27,27,0.29311665154445,1
"28","Sympetrum vicinum",28,28,0.0207600255148005,1
"29","Macromia illinoiensis",29,29,0.082005226769962,1
"30","Hetaerina titia",30,30,0.0676416043774291,1
"31","Enallagma aspersum",31,31,0.247188072065623,1
"32","Gomphus exilis",32,32,-0.336249135706102,-1
"33","Argia sedula",33,33,0.0576310184373968,1
"34","Nannothemis bella",34,34,0.276731816872963,1
"35","Libellula luctuosa",35,35,0.0688040155206312,1
"36","Chromagrion conditum",36,36,0.192415260492904,1
"37","Libellula needhami",37,37,-0.0154953811376076,-1
"38","Amphiagrion saucium",38,38,0.153843791265177,1
"39","Erythrodiplax berenice",39,39,0.116203029594573,1
"40","Perithemis tenera",40,40,0.145360146781947,1
"41","Libellula auripennis",41,41,0.0555191291386287,1
"42","Dromogomphus spinosus",42,42,0.0950303557664257,1
"43","Enallagma traviatum",43,43,0.348944238478714,1
"44","Nehalennia gracilis",44,44,0.460589771775993,1
"45","Aeshna umbrosa",45,45,0.0235172351190163,1
"46","Lestes australis",46,46,0.129456265020171,1
"47","Argia fumipennis",47,47,0.0960731360519282,1
"48","Ophiogomphus aspersus",48,48,0.34468600241107,1
"49","Lestes rectangularis",49,49,0.230896204278996,1
"50","Ophiogomphus carolus",50,50,0.109857054723314,1
"51","Libellula vibrans",51,51,0.225177291669982,1
"52","Arigomphus villosipes",52,52,0.156431904007343,1
"53","Tachopteryx thoreyi",53,53,0.0794597875573627,1
"54","Leucorrhinia hudsonica",54,54,0.15114103441635,1
"55","Gomphus crassus",55,55,-0.00818276383037466,-1
"56","Plathemis lydia",56,56,0.0954182526076387,1
"57","Lestes disjunctus",57,57,0.0991731322781708,1
"58","Pantala hymenaea",58,58,0.127567594839812,1
"59","Enallagma annexum",59,59,0.130336034536431,1
"60","Lestes congener",60,60,0.108827320932472,1
"61","Calopteryx aequabilis",61,61,0.182658228393097,1
"62","Lestes vigilax",62,62,0.144869949192952,1
"63","Libellula incesta",63,63,0.0454210846709211,1
"64","Epitheca canis",64,64,0.105745565094523,1
"65","Enallagma dubium",65,65,0.221557937716501,1
"66","Sympetrum janeae",66,66,0.076903394807829,1
"67","Archilestes grandis",67,67,-0.0506756681725848,-1
"68","Somatochlora elongata",68,68,0.268339020618324,1
"69","Ischnura hastata",69,69,0.230004473918204,1
"70","Aeshna canadensis",70,70,0.0470955545642634,1
"71","Sympetrum ambiguum",71,71,-0.0445872060839452,-1
"72","Hagenius brevistylus",72,72,0.125789443050571,1
"73","Enallagma signatum",73,73,0.185405661908423,1
"74","Erythrodiplax minuscula",74,74,-0.0747747824105163,-1
"75","Epitheca princeps",75,75,0.0819492355379996,1
"76","Libellula cyanea",76,76,0.158132215748914,1
"77","Libellula semifasciata",77,77,0.091618245697759,1
"78","Lestes eurinus",78,78,0.117763243582429,1
"79","Lestes forcipatus",79,79,0.151158983305226,1
"80","Libellula deplanata",80,80,0.141347314226613,1
"81","Enallagma basidens",81,81,0.202163005393239,1
"82","Dorocordulia libera",82,82,0.342544299222043,1
"83","Somatochlora tenebrosa",83,83,0.17654378219111,1
"84","Aeshna clepsydra",84,84,0.133311949695819,1
"85","Anax junius",85,85,0.0424171667142493,1
"86","Leucorrhinia intacta",86,86,0.0951672064871019,1
"87","Celithemis fasciata",87,87,0.103856676388514,1
"88","Libellula pulchella",88,88,0.111629870391808,1
"89","Libellula quadrimaculata",89,89,0.146082163246603,1
"90","Lestes inaequalis",90,90,0.098870777487276,1
"91","Cordulegaster maculata",91,91,0.108779375083666,1
"92","Ischnura ramburii",92,92,0.129855870882173,1
"93","Celithemis amanda",93,93,0.0511397902548641,1
"94","Celithemis eponina",94,94,0.080772032732757,1
"95","Coryphaeschna ingens",95,95,-0.0821012898650766,-1
"96","Gomphus vastus",96,96,-0.0832983732970912,-1
"97","Enallagma antennatum",97,97,0.193481111605655,1
"98","Gomphus spicatus",98,98,-0.23284860774753,-1
"99","Nasiaeschna pentacantha",99,99,0.0202541349822035,1
"100","Sympetrum semicinctum",100,100,0.221411256534288,1
"101","Somatochlora linearis",101,101,0.231258911369694,1
"102","Leucorrhinia glacialis",102,102,0.263763384807865,1
"103","Neurocordulia yamaskanensis",103,103,0.125645754600567,1
"104","Lanthus vernalis",104,104,0.104703084773672,1
"105","Basiaeschna janata",105,105,0.103755483687219,1
"106","Argia bipunctulata",106,106,0.0288244084415146,1
"107","Enallagma daeckii",107,107,0.212005989333206,1
"108","Libellula julia",108,108,0.286629856904153,1
"109","Hetaerina americana",109,109,0.0555799416522363,1
"110","Enallagma vesperum",110,110,0.195442639345399,1
"111","Enallagma durum",111,111,0.229223598480723,1
"112","Calopteryx amata",112,112,0.133726654400302,1
"113","Enallagma weewa",113,113,0.0646125466481951,1
"114","Nehalennia irene",114,114,0.0912363223028122,1
"115","Macromia taeniolata",115,115,0.0357944901072008,1
"116","Lanthus parvulus",116,116,0.170150121756631,1
"117","Tramea lacerata",117,117,0.109464526741577,1
"118","Enallagma ebrium",118,118,0.0823496503436165,1
"119","Stylurus laurae",119,119,-0.0672783586432174,-1
"120","Epiaeschna heros",120,120,0.0996694390354643,1
"121","Libellula flavida",121,121,-0.0828078023418243,-1
"122","Leucorrhinia frigida",122,122,0.289548176932349,1
"123","Enallagma recurvatum",123,123,0.000503027662448668,1
"124","Libellula axilena",124,124,0.174572012104347,1
"125","Stylogomphus albistylus",125,125,0.125107014763398,1
"126","Celithemis ornata",126,126,-0.0079738027345917,-1
"127","Ophiogomphus mainensis",127,127,0.0794858415363784,1
"128","Helocordulia uhleri",128,128,0.130786382873641,1
"129","Gomphaeschna furcillata",129,129,0.154034378537797,1
"130","Stylurus plagiatus",130,130,0.0522266473796444,1
"131","Celithemis martha",131,131,-0.0590051003538144,-1
"132","Cordulegaster diastatops",132,132,0.230921305644831,1
"133","Ischnura kellicotti",133,133,0.430816662950944,1
"134","Gomphus fraternus",134,134,-0.061206589703942,-1
"135","Cordulegaster obliqua",135,135,0.0819391960080867,1
"136","Leucorrhinia proxima",136,136,0.144450361224158,1
"137","Sympetrum internum",137,137,0.302693432089106,1
"138","Pantala flavescens",138,138,0.088021751643928,1
"139","Aeshna constricta",139,139,0.246653764622677,1
"140","Libellula lydia",140,140,-0.24398599457807,-1
"141","Tramea carolina",141,141,0.0889287402284519,1
"142","Lestes unguiculatus",142,142,0.092009833793618,1
"143","Enallagma carunculatum",143,143,0.162102499540356,1
"144","Progomphus obscurus",144,144,0.00771177180073801,1
"145","Lestes dryas",145,145,0.2566621517814,1
"146","Nehalennia integricollis",146,146,0.0777202497900168,1
"147","Boyeria grafiana",147,147,0.205698754625937,1
"148","Stylurus scudderi",148,148,0.168751616091819,1
"149","Ophiogomphus rupinsulensis",149,149,0.133823273432787,1
"150","Epitheca spinigera",150,150,0.272703118933392,1
"151","Erpetogomphus designatus",151,151,-0.0104466972142789,-1
"152","Aeshna tuberculifera",152,152,0.382968145849462,1
"153","Arigomphus pallidus",153,153,-0.0282600230955025,-1
"154","Telebasis byersi",154,154,-0.016775014126735,-1
"155","Aeshna interrupta",155,155,0.0740401100065397,1
"156","Anax longipes",156,156,0.121943879613251,1
"157","Arigomphus furcifer",157,157,0.175435243379614,1
"158","Aeshna verticalis",158,158,0.114524100066501,1
"159","Enallagma sulcatum",159,159,-0.0334709095305643,-1
"160","Ophiogomphus colubrinus",160,160,-0.0826982515116734,-1
"161","Aeshna eremita",161,161,0.126573291771509,1
"162","Sympetrum corruptum",162,162,-0.077393216416818,-1
"163","Sympetrum costiferum",163,163,0.100133691533955,1
"164","Rhionaeschna mutata",164,164,0.222411270890321,1
"165","Hylogomphus adelphus",165,165,0.0859744917650901,1
"166","Somatochlora williamsoni",166,166,0.212868447906155,1
"167","Phanogomphus minutus",167,167,-0.105503624688233,-1
"168","Phanogomphus exilis",168,168,0.0673972641054721,1
"169","Gomphurus fraternus",169,169,-0.0028662230053606,-1
"170","Phanogomphus quadricolor",170,170,0.309108768076222,1
"171","Phanogomphus lividus",171,171,0.247429613997742,1
"172","Celithemis bertha",172,172,-0.0730974309998397,-1
"173","Phanogomphus spicatus",173,173,0.295036538173924,1
"174","Stylurus spiniceps",174,174,0.165415171456731,1
"175","Phanogomphus borealis",175,175,0.405656239768634,1
"176","Aphylla williamsoni",176,176,0.132049371875259,1
"177","Phanogomphus descriptus",177,177,0.317006802150823,1
"178","Phanogomphus cavillaris",178,178,0.0325246560399674,1
"179","Lestes vidua",179,179,0.0808462211215549,1
"180","Coenagrion resolutum",180,180,0.161635511566776,1
"181","Somatochlora walshii",181,181,0.0535140157684439,1
"182","Gomphurus lineatifrons",182,182,0.0481348926936468,1
"183","Enallagma doubledayi",183,183,0.108773087168552,1
"184","Stylurus amnicola",184,184,-0.0251999967570001,-1
"185","Gomphurus vastus",185,185,0.175087006611884,1
"186","Brachymesia gravida",186,186,0.0286227401605538,1
"187","Enallagma boreale",187,187,0.258630468286952,1
"188","Enallagma vernale",188,188,0.224988712224763,1
"189","Enallagma pollutum",189,189,0.014103977341324,1
"190","Ophiogomphus anomalus",190,190,0.100825791474823,1
"191","Gomphurus ventricosus",191,191,0.0307470176380449,1
"192","Enallagma cardenium",192,192,0.00781588936673827,1
"193","Dromogomphus spoliatus",193,193,0.110984856926607,1
"194","Phanogomphus graslinellus",194,194,0.0731735081307276,1
"195","Gomphus graslinellus",195,195,0.116850980249364,1
